case,field,model,MSE,RMSE,MAE,L2,RelL2,MaxAbsError,MeanAbsError,real_model_folder,source_file
RBC,p,LSTM-PINN,0.0002203256153734401,0.014843369834125042,0.012934484519064426,1.781204104423523,0.2944139242172241,0.029281003400683403,0.012934484519064426,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
RBC,p,DP-PINN,3.961886250181124e-06,0.00199044868350029,0.0015760061796754599,0.23885385692119598,0.03947998210787773,0.009588525630533695,0.0015760061796754599,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,p,DP-PINN,6.948093869141303e-06,0.0026359236799180508,0.00207566493190825,0.3163108229637146,0.05228278785943985,0.009721092879772186,0.00207566493190825,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,p,DP-PINN,0.0005700704641640186,0.023876147344708443,0.018710367381572723,2.8651373386383057,0.47357648611068726,0.053991761058568954,0.018710367381572723,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,p,Causal-PINN,4.440287284523947e-06,0.0021071990486234426,0.001590118044987321,0.2528638243675232,0.041795678436756134,0.011830426752567291,0.001590118044987321,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,p,Causal-PINN,1.2318429980950896e-05,0.003509762231260538,0.00250710709951818,0.42117151618003845,0.06961513310670853,0.017345279455184937,0.00250710709951818,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,p,Causal-PINN,0.0011701112380251288,0.03420688956975937,0.028162527829408646,4.104825019836426,0.6784835457801819,0.07321356236934662,0.028162527829408646,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,p,Param-ANN-PINN,3.4406421036692336e-06,0.0018548967782408,0.001386375050060451,0.22258761525154114,0.036791346967220306,0.006522521376609802,0.001386375050060451,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
RBC,p,Param-ANN-PINN,6.9710104071418755e-06,0.0026402671355754137,0.002224255120381713,0.316832035779953,0.05236893892288208,0.006782550364732742,0.002224255120381713,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
RBC,p,Param-ANN-PINN,4.60387600469403e-05,0.006785186938941479,0.005283419508486986,0.814222514629364,0.1345822513103485,0.018051419407129288,0.005283419508486986,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
