case,time,field,model,MSE,RMSE,MAE,L2,RelL2,MaxAbsError,MeanAbsError,real_model_folder,source_file
RBC,1.0,T,ResAtten-PINN,1.6735884855734184e-06,0.0012936724815517664,0.0010371071984991431,0.1552407145500183,0.002609086688607931,0.007011545822024345,0.0010371071984991431,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
RBC,1.0,T,LSTM-PINN,4.123251983401133e-06,0.0020305791404098272,0.00163474609144032,0.2436695545911789,0.004095285199582577,0.008867166936397552,0.00163474609144032,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
RBC,1.0,T,DP-PINN,2.7655445592245087e-05,0.0052588446997106075,0.004130241461098194,0.631061315536499,0.0106060691177845,0.023474447429180145,0.004130241461098194,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,1.0,T,Causal-PINN,2.606212547107134e-05,0.005105107557028532,0.004046290647238493,0.6126130223274231,0.01029601413756609,0.014461050741374493,0.004046290647238493,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,1.0,T,Param-ANN-PINN,1.0314797691535205e-05,0.0032116658985614777,0.002652895636856556,0.38539987802505493,0.006477306596934795,0.007819563150405884,0.002652895636856556,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
RBC,1.0,T,PirateNet,4.013108082290273e-06,0.002003274392336607,0.0016656889347359538,0.24039286375045776,0.004040214698761702,0.009320834651589394,0.0016656889347359538,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PirateNet\metrics\field_metrics.csv
RBC,1.0,speed,PINN,0.00013455738371703774,0.011599887162446976,0.009740890003740788,1.391986608505249,69550.109375,0.025586161762475967,0.009740890003740788,PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PINN\metrics\field_metrics.csv
RBC,1.0,speed,ResAtten-PINN,0.00019726110622286797,0.014044967480003834,0.012729128822684288,1.6853961944580078,84210.21875,0.027630219236016273,0.012729128822684288,ResAtten-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\ResAtten-PINN\metrics\field_metrics.csv
RBC,1.0,speed,LSTM-PINN,9.414345549885184e-05,0.009702755138278008,0.00821120198816061,1.1643306016921997,58175.36328125,0.023148497566580772,0.00821120198816061,LSTM-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\LSTM-PINN\metrics\field_metrics.csv
RBC,1.0,speed,DP-PINN,7.381590694421902e-05,0.00859161838889122,0.007790702860802412,1.030994176864624,51513.25390625,0.024205278605222702,0.007790702860802412,DP-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\DP-PINN\metrics\field_metrics.csv
RBC,1.0,speed,Causal-PINN,0.000661035068333149,0.02571060322225094,0.02300722897052765,3.0852725505828857,154154.546875,0.0563933439552784,0.02300722897052765,Causal-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Causal-PINN\metrics\field_metrics.csv
RBC,1.0,speed,Param-ANN-PINN,6.476249836850911e-05,0.008047515526413918,0.007368060294538736,0.9657018780708313,48250.94921875,0.016190672293305397,0.007368060294538736,Parameter-ANN-PINN,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\Parameter-ANN-PINN\metrics\field_metrics.csv
RBC,1.0,speed,PirateNet,5.1090624765492976e-05,0.007147770840674639,0.006483608856797218,0.8577322959899902,42856.2890625,0.014422333799302578,0.006483608856797218,PirateNet,D:\科研工作\PINN研究组\MMS_算例对比\EJMB期刊投稿工作\重构的七模型训练代码\RBC算例\RBC\PirateNet\metrics\field_metrics.csv
